CatalogID,Release,Type,Product,Domain,Resolution,Deprecated,MinDate,MaxDate,MinYear,MaxYear,TimeSeriesType,TimeSeriesRegularity,DataType,DataUnit,DataScaleFactor,DataOffset,Data.URL,Metadata.URL,ColorRampDefault
R3D005,Release3,Supplemental,UTM Y Coordinate,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_coordinate_UTMY_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_coordinate_UTMY_1m_v1_metadata.xml,continuous
R3D006,Release3,Supplemental,1m Data Mask,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_mask_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_mask_1m_v1_metadata.xml,categorical
R3D007,Release3,Supplemental,3m Data Mask,UG,3m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_mask_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_mask_3m_v1_metadata.xml,categorical
R3D008,Release3,Topo,Bare-earth Digital Elevation Model,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_1m_v1_metadata.xml,continuous
R3D009,Release3,Topo,Bare-earth Digital Elevation Model,UG,3m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_3m_v1_metadata.xml,continuous
R3D010,Release3,Topo,Topographic Aspect Southness Component,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,numeric,cos(radians),1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_aspect_southness_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_aspect_southness_1m_v1_metadata.xml,continuous
R3D011,Release3,Topo,Topographic Aspect Westness Component,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,numeric,cos(radians),1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_aspect_westness_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_aspect_westness_1m_v1_metadata.xml,continuous
R3D012,Release3,Topo,Topographic Slope Angle,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,numeric,degrees,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_slope_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_dem_slope_1m_v1_metadata.xml,continuous
R3D013,Release3,Vegetation,Understory Cover,UG,3m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,numeric,proportion,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_2mcover_3m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_2mcover_3m_v2_metadata.xml,continuous
R3D014,Release3,Vegetation,Vegetation Canopy Cover,UG,3m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,numeric,proportion,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_cover_3m_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_cover_3m_v3_metadata.xml,continuous
R3D015,Release3,Vegetation,Vegetation Canopy Height,UG,1m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_height_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_height_1m_v2_metadata.xml,continuous
R3D016,Release3,Vegetation,20th Percentile Canopy Height,UG,3m,FALSE,9/7/19,9/7/19,2019,2019,Single,Regular,numeric,meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_ht20_3m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release3/UG_canopy_ht20_3m_v2_metadata.xml,continuous
